k,e1,e2
280.59,-1337.22703,299.6043464961688
281.07,-1326.42522,292.4656907520546
281.56,-1312.38901,286.8581495674101
282.04,-1294.56111,285.27381156176426
282.52,-1273.45959,289.3976484329605
283.0,-1253.09952,299.8323364491873
283.48,-1235.05414,310.2587008833074
283.97,-1219.55737,316.55656957326477
284.45,-1205.84304,319.65641747020567
284.93,-1192.50438,323.06976850861616
285.41,-1181.76993,330.02103012438243
285.9,-1172.71081,338.0561009543198
286.38,-1164.9401,344.9335818427264
286.86,-1158.26669,350.996957826675
287.34,-1152.4992,358.05062040509506
287.82,-1149.47515,368.1513640849142
288.31,-1146.92393,379.8046200971177
288.79,-1143.1073,392.05142197707676
289.27,-1138.07416,405.55769777287657
289.75,-1132.60114,421.0926452935289
290.23,-1130.10406,437.1932594214244
290.72,-1128.77506,450.595515552284
291.2,-1126.89192,458.8163443442308
291.68,-1123.65052,461.68145293568296
292.16,-1119.17027,460.66770337746436
292.64,-1116.1058,458.0905996375069
293.13,-1114.07466,455.7213231946235
293.61,-1113.1408,455.13669517850207
294.09,-1113.72764,457.79925791478803
294.57,-1115.60854,464.4571672410633
295.06,-1119.40259,472.788111722226
295.54,-1122.25272,480.93353973905386
296.02,-1122.24068,486.9924616828593
296.5,-1119.31442,489.99374164263065
296.98,-1115.77809,489.7906830229645
297.47,-1113.45161,486.99714372810706
297.95,-1114.45554,481.47484962309113
298.43,-1116.95618,474.6701580594445
298.91,-1118.73894,467.8170529123816
299.39,-1118.23031,462.3463184317446
299.88,-1115.11601,460.2032192730425
300.36,-1112.43179,460.42122070382203
300.84,-1111.40999,463.36189098271507
301.32,-1112.59747,467.1846028470728
301.81,-1114.4951,469.330745065571
302.29,-1114.77549,469.0558086149062
302.77,-1113.28286,465.04459952280615
303.25,-1110.5633,460.37530944277
303.73,-1108.28893,457.000290989629
304.22,-1107.31244,455.52549971336526
304.7,-1106.85005,455.5083781348211
305.18,-1105.32144,457.5151413681106
305.66,-1101.97708,459.48286672367993
306.14,-1097.10191,462.20117329261126
306.63,-1091.72807,464.56898279633435
307.11,-1087.00907,465.2154894321904
307.59,-1083.65593,464.50372925699804
308.07,-1081.22152,461.9272630552797
308.55,-1079.51936,459.8684124524388
309.04,-1078.22161,458.9192857693502
309.52,-1077.22834,458.67441614034635
310.0,-1076.20177,459.6634483667097
310.48,-1073.86006,459.6769523519711
310.97,-1069.88157,460.29234363765
311.45,-1064.82747,461.1719518746509
311.93,-1059.89836,461.15080203571307
312.41,-1056.21677,459.14516997099963
312.89,-1053.96704,455.8624350397904
313.38,-1051.25465,450.41548267802665
313.86,-1047.96277,444.9828259095138
314.34,-1044.90118,440.7152188929186
314.82,-1043.58544,438.46628811485925
315.3,-1045.26735,439.673268014843
315.79,-1047.50255,441.0011251364515
316.27,-1048.82604,441.9099447400006
316.75,-1047.69587,440.86503985376487
317.23,-1044.23977,437.6127945280081
317.71,-1039.891,433.3041628665135
318.2,-1036.95964,430.18034968837213
318.68,-1034.80922,426.84619011911633
319.16,-1033.68112,424.11065685574636
319.64,-1032.26936,421.78468256914033
320.13,-1029.36919,419.8438373566989
320.61,-1024.67274,418.15001544667973
321.09,-1019.4837,417.487711179171
321.57,-1013.48555,415.1707408054234
322.05,-1008.26957,412.9272985124049
322.54,-1004.16137,411.5196665426924
323.02,-1001.09882,411.21759608011894
323.5,-999.508277,412.5593030413601
323.98,-997.160033,413.0283660963022
324.46,-994.057982,413.62239176847686
324.95,-989.585671,414.59868345283894
325.43,-983.837055,415.9350489062471
325.91,-977.37286,417.26302700389675
326.39,-971.699731,419.28181436281744
326.88,-965.546638,419.685832815345
327.36,-960.281209,419.227522452346
327.84,-956.312095,417.37094299780387
328.32,-953.741304,413.97895893445417
328.8,-951.908939,410.0573300189781
329.29,-950.602049,408.42243272434627
329.77,-947.200784,408.7997279528156
330.25,-942.898614,411.99594081707795
330.73,-938.148202,416.57733256287605
331.21,-932.949595,421.1489546414662
331.7,-926.72548,425.20410754296046
332.18,-920.338176,430.0551552729243
332.66,-912.736667,433.83532858834843
333.14,-906.257681,437.31206205751346
333.62,-901.785674,439.55643297644025
334.11,-899.338458,439.50865168740836
334.59,-898.500155,436.84548044460394
335.07,-899.954421,433.31779078747724
335.55,-901.098356,428.97278828919684
336.04,-902.426494,426.721421284847
336.52,-903.261908,427.2254459613693
337.0,-903.387403,429.3409447846884
337.48,-903.017466,431.1213710805973
337.96,-903.677023,432.287139279323
338.45,-903.62407,431.12692327043885
338.93,-904.078525,429.68782431286695
339.41,-904.804943,429.1105235480392
339.89,-905.291933,429.8818708162052
340.37,-904.750772,431.6550530617857
340.86,-903.824602,434.2799309806959
341.34,-900.987183,435.38838836046176
341.82,-898.314338,435.1673568193786
342.3,-896.369258,433.9925566164183
342.78,-894.652245,432.5644542482059
343.27,-892.213224,431.24410606053544
343.75,-889.934535,430.4429535335564
344.23,-886.856532,428.608453469134
344.71,-885.047309,426.8822859241682
345.2,-884.436552,426.2309725046351
345.68,-883.824199,427.04537710090256
346.16,-881.761237,428.7423240674832
346.64,-878.739913,430.9571455636973
347.12,-873.726412,432.3127512831297
347.61,-868.623272,434.10888500135206
348.09,-864.316555,436.74231017116267
348.57,-861.093139,439.36385344716984
349.05,-858.746506,440.7401932614811
349.53,-857.029181,440.2623320243756
350.02,-855.817039,438.62887867173305
350.5,-855.619615,437.1164036763481
350.98,-857.022662,436.6991590768705
351.46,-860.037423,437.6196119721164
351.95,-863.773442,439.61635686080416
352.43,-867.238174,441.9891189904378
352.91,-870.023939,443.820238400612
353.39,-872.536676,444.2535413151476
353.87,-875.003226,443.25782860372453
354.36,-876.975083,441.6308740320578
354.84,-877.940054,440.2466594918274
355.32,-878.108761,439.23865888675004
355.8,-878.644488,438.04881665081507
356.28,-880.557889,436.1131000150444
356.77,-883.890109,433.4335045904084
357.25,-887.845671,430.29159753170046
357.73,-891.356684,426.73295850826037
358.21,-893.783127,422.58462201725257
358.69,-894.965588,417.86374729052943
359.18,-895.121485,412.97879809599647
359.66,-894.803555,408.40192649335484
360.14,-894.328168,404.28200186905093
360.62,-893.482014,400.3253214737951
361.11,-891.470271,396.43690535149955
361.59,-888.015865,392.701306483144
362.07,-883.816749,389.4943688513272
362.55,-880.315419,387.1359051981796
363.03,-878.43832,385.6675657880616
363.52,-877.732141,384.62952022986354
364.0,-877.260412,383.12189506824177
364.48,-876.313257,380.37557508878405
364.96,-874.897485,376.36120222007895
365.44,-872.968849,372.04887402944394
365.93,-870.170752,368.7308964008417
366.41,-866.441102,367.0201356932398
366.89,-862.362175,366.32176964267217
367.37,-858.653934,365.4939458947655
367.86,-855.516231,363.6035158684282
368.34,-852.899975,360.45428483922467
368.82,-850.944973,356.3335457909007
369.3,-850.15408,351.8460823891687
369.78,-850.342028,347.54084259884263
370.27,-850.284866,343.85624956577635
370.75,-848.709184,340.80768438484154
371.23,-845.791355,338.14640666056084
371.71,-842.960204,335.5520164688602
372.19,-841.511412,333.09326564926516
372.68,-841.423658,330.83420469196096
373.16,-841.855078,329.00885150916497
373.64,-842.188254,327.69700060860725
374.12,-842.197968,327.28987812445206
374.6,-841.331684,328.019239545969
375.09,-838.572544,329.4569025770882
375.57,-833.776461,330.66430502968825
376.05,-828.047121,330.9951584006382
376.53,-823.077289,331.0351806611957
377.02,-819.320591,332.1057483977508
377.5,-816.305373,334.52903292556294
377.98,-813.657346,336.97491715783906
378.46,-812.183933,337.601439154151
378.94,-812.449848,335.7871275848419
379.43,-813.812483,332.31249260785916
379.91,-814.586656,328.3519166558395
380.39,-813.709063,324.65207496285393
380.87,-811.001197,322.3481438449865
381.35,-807.065196,322.3354663988462
381.84,-802.707212,324.5368577537189
382.32,-799.316329,327.09518905921743
382.8,-798.022,327.9554101514106
383.28,-798.348242,326.62217659496974
383.76,-798.623187,324.1241990968314
384.25,-797.113861,321.7878776867144
384.73,-794.109414,319.7245741252307
385.21,-791.494354,317.0086328501337
385.69,-790.8327,313.33324576794837
386.18,-791.633,309.8672740630794
386.66,-791.961494,308.222828973465
387.14,-790.104462,309.23004413090877
387.62,-786.006937,311.6844257704969
388.1,-780.8372,313.9013688530791
388.59,-775.699793,315.232396912427
389.07,-771.582906,316.3004754196417
389.55,-768.908839,317.89253034362724
390.03,-767.556999,319.6988842919776
390.51,-766.845981,320.4377312969195
391.0,-766.390573,318.72470018056265
391.48,-766.734412,314.2045445437825
391.96,-768.816934,307.63898753393204
392.44,-772.540303,300.5575795656916
392.93,-776.102439,294.8442250472094
393.41,-777.044588,291.8728272616354
393.89,-774.324356,291.7350811818528
394.37,-769.384548,293.01655325800647
394.85,-764.996934,293.5049185784982
395.34,-763.13346,291.7249419792584
395.82,-763.956401,287.8513480715477
396.3,-765.964219,283.1784884
396.78,-767.13616,278.9077224456878
397.26,-765.967128,275.44355445874237
397.75,-762.287029,272.48631333983656
398.23,-757.367347,269.6040410126811
398.71,-752.894532,266.6981845775627
399.19,-749.940919,263.88807829775294
399.67,-748.296827,261.22355578832537
400.16,-746.93624,258.6683904355258
400.64,-745.227293,256.1389128516374
401.12,-743.112954,253.62337600368966
401.6,-740.782116,251.25699360328684
402.09,-738.091664,249.4789157366759
402.57,-734.879355,248.74428788285266
