#Frequency,Eps1,Eps2,Eps1,Eps2
313.057,-805.2973317,152.5454391,5,0.1
313.7,-800.7813273,153.4623027,5,0.1
314.343,-797.5559011,154.6069151,5,0.1
314.986,-795.3405679,155.0547259,5,0.1
315.628,-793.3346148,154.338336,5,0.1
316.271,-790.6945325,152.8317783,5,0.1
316.914,-787.2504988,151.3402384,5,0.1
317.557,-783.3004608,150.1878859,5,0.1
318.2,-779.3305355,149.7417444,5,0.1
318.843,-775.6101275,149.2441105,5,0.1
319.485,-771.9503386,149.1084596,5,0.1
320.128,-768.612291,148.9421285,5,0.1
320.771,-765.4804201,148.7124491,5,0.1
321.414,-762.4675585,148.168176,5,0.1
322.057,-759.2206381,147.3229389,5,0.1
322.7,-755.5568587,146.5837752,5,0.1
323.342,-751.8264186,146.3837194,5,0.1
323.985,-748.3493693,146.2484973,5,0.1
324.628,-745.0747481,146.2752765,5,0.1
325.271,-742.0179676,146.0258043,5,0.1
325.914,-738.6342745,145.4527119,5,0.1
326.556,-734.885565,145.5285981,5,0.1
327.199,-731.5493621,146.1485578,5,0.1
327.842,-728.8049736,146.7164542,5,0.1
328.485,-726.4277565,147.0626047,5,0.1
329.128,-724.2075929,147.0206593,5,0.1
329.771,-721.9505697,146.7494689,5,0.1
330.413,-719.5936651,146.233006,5,0.1
331.056,-716.9499231,145.6263361,5,0.1
331.699,-714.2150641,145.4104702,5,0.1
332.342,-711.7274547,145.1618366,5,0.1
332.985,-709.3179715,144.8292357,5,0.1
333.628,-706.8835824,144.3827389,5,0.1
334.27,-704.4049871,144.0240692,5,0.1
334.913,-701.9320028,143.6643735,5,0.1
335.556,-699.5901695,143.6470998,5,0.1
336.199,-697.7198402,143.5700648,5,0.1
336.842,-696.230973,143.2047397,5,0.1
337.485,-694.9559325,142.3013874,5,0.1
338.127,-693.5617204,140.7626335,5,0.1
338.77,-691.7294341,138.7995086,5,0.1
339.413,-689.3787025,136.6946965,5,0.1
340.056,-686.5707327,134.6679401,5,0.1
340.699,-683.4173763,132.8509702,5,0.1
341.342,-680.1703611,131.4098806,5,0.1
341.984,-676.8918905,129.8724095,5,0.1
342.627,-673.4344792,128.6753821,5,0.1
343.27,-669.9917696,127.4886111,5,0.1
343.913,-666.5043209,126.5758348,5,0.1
344.556,-663.0629974,125.5847385,5,0.1
345.198,-659.4972611,124.7443213,5,0.1
345.841,-655.8248088,123.9644783,5,0.1
346.484,-652.0152264,123.5068996,5,0.1
347.127,-648.31143,123.4301599,5,0.1
347.77,-644.937274,123.6152645,5,0.1
348.413,-641.9133363,123.711109,5,0.1
349.055,-639.0640637,123.6703779,5,0.1
349.698,-636.1667712,123.3449434,5,0.1
350.341,-633.0607471,123.1269593,5,0.1
350.984,-629.9113621,123.0603123,5,0.1
351.627,-626.8571646,123.2701881,5,0.1
352.27,-624.0851192,123.5517356,5,0.1
352.912,-621.5103821,123.7114742,5,0.1
353.555,-619.00268,123.7979379,5,0.1
354.198,-616.5600223,123.8115358,5,0.1
354.841,-614.1549823,123.7462339,5,0.1
355.484,-611.7670879,123.596549,5,0.1
356.127,-609.3136342,123.3391661,5,0.1
356.769,-606.734411,123.1207534,5,0.1
357.412,-604.1022842,123.0443968,5,0.1
358.055,-601.5601012,123.1509268,5,0.1
358.698,-599.1994416,123.3049476,5,0.1
359.341,-597.0694571,123.5235815,5,0.1
359.984,-595.2139448,123.5007571,5,0.1
360.626,-593.3950013,123.166183,5,0.1
361.269,-591.4645449,122.635848,5,0.1
361.912,-589.4015913,121.9851284,5,0.1
362.555,-587.2532153,121.3085639,5,0.1
363.198,-585.0330958,120.4553603,5,0.1
363.84,-582.5600432,119.4479053,5,0.1
364.483,-579.7102859,118.4828803,5,0.1
365.126,-576.5860834,117.8182339,5,0.1
365.769,-573.3284119,117.4115083,5,0.1
366.412,-570.1034761,117.5338505,5,0.1
367.055,-567.2088131,117.8204854,5,0.1
367.697,-564.5887096,118.1794301,5,0.1
