k,e1,e2
372.19,-771.257438,599.651500612053
372.68,-774.244987,598.2700771283676
373.16,-777.704322,597.966013033444
373.64,-781.383189,596.6088834285408
374.12,-784.500244,591.8236417227628
374.6,-785.681837,583.739795526001
375.09,-783.871049,576.0750647835986
375.57,-779.436492,573.244063374817
376.05,-773.929163,576.4833683969686
376.53,-768.743511,582.9939121477705
377.02,-764.450625,588.0084908779376
377.5,-761.442507,589.0183141567153
377.98,-760.437642,586.56685261199
378.46,-762.222468,582.3837281032606
378.94,-765.76159,577.808463334037
379.43,-768.320167,573.6283880254065
379.91,-767.176875,571.3455978534917
380.39,-762.28683,571.7432195548779
380.87,-756.428432,573.6908102960065
381.35,-752.895452,573.7053516049823
381.84,-752.490429,570.0581176889798
382.32,-753.276691,565.0505513131409
382.8,-752.511329,563.1076374180773
383.28,-749.062602,566.2986157020456
383.76,-744.03645,572.5099930970398
384.25,-739.373371,576.8777163167729
384.73,-736.338149,576.8020698306865
385.21,-734.976468,572.1443890023623
385.69,-734.399306,564.8682809218803
386.18,-733.923192,556.8508964766689
386.66,-733.156752,549.6244613230228
387.14,-732.042338,544.5226976483959
387.62,-730.806891,542.3390903817141
388.1,-729.750708,542.7819250114918
388.59,-728.744835,544.7707911951414
389.07,-727.269064,547.1380948588172
389.55,-724.662225,549.4252052545758
390.03,-720.958143,551.3119864252494
390.51,-717.197917,552.1551359911911
391.0,-714.80732,551.2092669716624
391.48,-714.931575,548.0467288040257
391.96,-717.556472,543.0277730425555
392.44,-721.703336,537.390902447355
392.93,-726.165088,532.4407107014481
393.41,-729.955022,529.1104533733255
393.89,-732.338315,527.4554055390083
394.37,-732.992939,526.6034527692269
394.85,-732.292406,525.3665589767253
395.34,-730.998966,522.8949738030051
395.82,-729.913631,519.2792968182507
396.3,-729.186207,515.2728985690638
396.78,-728.421654,511.63045548515555
397.26,-727.157835,508.53029358868247
397.75,-725.411572,505.6106802788687
398.23,-723.654907,502.50901257645074
398.71,-722.153552,499.3318190934765
399.19,-720.62851,496.3691784404419
399.67,-718.62274,493.6753655111467
400.16,-715.994044,490.72693938714514
400.64,-713.191977,486.85825633127
401.12,-710.500355,482.06769309204225
401.6,-707.847662,477.27595680249004
402.09,-704.913501,473.8147877779602
402.57,-701.795172,472.41252315522763
403.05,-698.79271,472.497222676591
403.53,-696.288669,472.6747832889748
404.01,-694.101835,471.9813667809213
404.5,-691.755486,470.5213298286279
404.98,-689.185784,468.7898269617265
405.46,-686.693325,466.8563147537119
405.94,-684.745955,464.223880939055
406.42,-683.426074,460.8165460842478
